fold,feature_set,buffer_range,rmse_mean,rmse_ci,r2_mean,r2_ci
0,all_features,50-1000,6.459501694290264,0.03547385889917144,0.5838422675900258,0.004013456240972595
1,all_features,50-1000,6.579891312773832,0.029724726861104403,0.6805696018540096,0.002797453301752177
2,all_features,50-1000,6.50945616487365,0.03063803564570242,0.7302209914326425,0.0024445972830692514
3,all_features,50-1000,6.127360422212816,0.028276571533781544,0.7391858787443585,0.002458686819341453
4,all_features,50-1000,6.0948963986320255,0.03103126626895602,0.7002720456695964,0.002990392685217029
0,all_features,50-500,6.616321741150268,0.039983439294496916,0.5634014457838844,0.0043154294792415795
1,all_features,50-500,6.7900608643758895,0.032932119842557506,0.659830502433363,0.0030338973226639756
2,all_features,50-500,6.6193072028985815,0.032966222048408406,0.72102848820553,0.0026564865097344604
3,all_features,50-500,6.1588617738352935,0.029972461411335274,0.7365144502236451,0.002613216923874626
4,all_features,50-500,6.131236810726082,0.033294614551870653,0.6966981904967808,0.0032318375763131756
0,all_features,50-250,6.623497619534231,0.037530317589289465,0.5624717314203079,0.0043022874494175216
1,all_features,50-250,6.7118198205390796,0.03146231491911574,0.6676261583389248,0.002931429131970014
2,all_features,50-250,6.53625827886993,0.030448344200916088,0.7280049729797218,0.002462572950510156
3,all_features,50-250,6.187395711488374,0.029070532236250553,0.7340559178324851,0.002583345755006025
4,all_features,50-250,6.149893263394984,0.03204596681858919,0.6948475360621758,0.003158392312729385
0,all_features,50-200,6.65011239966048,0.037251892101773154,0.5589457355132378,0.004287239378344401
1,all_features,50-200,6.750399095685356,0.03131849295395797,0.6637910853298608,0.002984692400187659
2,all_features,50-200,6.637660227701198,0.030668152106066604,0.7194812344260703,0.0025177476916159605
3,all_features,50-200,6.329216263538832,0.028654915092979592,0.721720214222016,0.00264796727676407
4,all_features,50-200,6.301372799957272,0.03178434150144138,0.6796462083246939,0.003237568725864061
0,all_features,50-150,6.7206329661334765,0.037183595248537975,0.5495354754037379,0.0042054607726020555
1,all_features,50-150,6.824408625838392,0.03307539360606195,0.6563807591027594,0.003099895576165954
2,all_features,50-150,6.618258873486356,0.031507628625881454,0.7211325098926537,0.0025497860947670424
3,all_features,50-150,6.276980413864628,0.029034169448819272,0.7263033624160511,0.002589774506057951
4,all_features,50-150,6.216979630605425,0.031311025899614806,0.6881581108608759,0.0031170703611702877
0,all_features,50-100,6.7872210351220845,0.03723033459638484,0.5405708804824955,0.00434566242664304
1,all_features,50-100,6.964241124522966,0.03252748878827631,0.642149311462271,0.003054527893364868
2,all_features,50-100,6.7189398820419415,0.030778375465063307,0.7125812688938923,0.0025548064186500367
3,all_features,50-100,6.434601920987506,0.029266475749614686,0.7123740217635656,0.0027064753986927315
4,all_features,50-100,6.366235166059006,0.03170730695705052,0.6730118208481941,0.0032128477958135123
0,all_features,1000,6.652174824196404,0.036829761982713,0.5586430925771592,0.004062163873406225
1,all_features,1000,6.783451856250489,0.03043175778274942,0.660490350560134,0.002774182721497677
2,all_features,1000,6.577726157566118,0.030601523758922815,0.7245378897449277,0.0024161202818436586
3,all_features,1000,6.24819648558456,0.029146593562711844,0.7287978843187387,0.002534925268947234
4,all_features,1000,6.200933555624859,0.03129270615591695,0.6897287804927551,0.0030373500606566766
0,all_features,500,6.757542992221202,0.04069040742687641,0.5446050166074156,0.004358179316822697
1,all_features,500,6.918398219680939,0.03406888146677933,0.6468474686110642,0.0030636378223588582
2,all_features,500,6.74506139396292,0.03317048713206859,0.7103380061180433,0.002629719220092447
3,all_features,500,6.265495180194486,0.030579557810099738,0.7272918678752263,0.002627511032752944
